Algoritmo,Tamanho,Tempo
BubbleSort,10,3.5762786865234375e-06
BubbleSort,10,6.9141387939453125e-06
BubbleSort,10,8.106231689453125e-06
BubbleSort,10,9.775161743164062e-06
BubbleSort,10,1.0013580322265625e-05
BubbleSort,10,1.0251998901367188e-05
BubbleSort,10,1.1444091796875e-05
BubbleSort,10,1.1682510375976562e-05
BubbleSort,10,1.3113021850585938e-05
BubbleSort,10,1.3589859008789062e-05
BubbleSort,100,0.00017333030700683594
BubbleSort,100,0.00025653839111328125
BubbleSort,100,0.00026154518127441406
BubbleSort,100,0.0004265308380126953
BubbleSort,100,0.00043463706970214844
BubbleSort,100,0.00046944618225097656
BubbleSort,100,0.0004715919494628906
BubbleSort,100,0.0005104541778564453
BubbleSort,100,0.0005443096160888672
BubbleSort,100,0.0006060600280761719
BubbleSort,1000,0.024745941162109375
BubbleSort,1000,0.025194406509399414
BubbleSort,1000,0.0271453857421875
BubbleSort,1000,0.02809882164001465
BubbleSort,1000,0.028562545776367188
BubbleSort,1000,0.03073263168334961
BubbleSort,1000,0.03464913368225098
BubbleSort,1000,0.034891366958618164
BubbleSort,1000,0.03779745101928711
BubbleSort,1000,0.0777442455291748
BubbleSort,10000,2.2642838954925537
BubbleSort,10000,2.3183345794677734
BubbleSort,10000,2.3509230613708496
BubbleSort,10000,2.3651483058929443
BubbleSort,10000,2.3941235542297363
BubbleSort,10000,2.403984308242798
BubbleSort,10000,2.4098434448242188
BubbleSort,10000,2.4377601146698
BubbleSort,10000,2.492112159729004
BubbleSort,10000,2.5081098079681396
BubbleSort,100000,267.25679659843445
BubbleSort,100000,287.29744005203247
BubbleSort,100000,290.03816270828247
BubbleSort,100000,297.64789509773254
BubbleSort,100000,297.9154784679413
BubbleSort,100000,298.79347825050354
BubbleSort,100000,299.6865985393524
BubbleSort,100000,319.2953372001648
BubbleSort,100000,321.38801670074463
BubbleSort,100000,326.08059644699097
